data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,eu-north-1:AWS/Lambda FunctionName:FetchRatesDB Duration Minimum 60,eu-north-1:AWS/Lambda FunctionName:FetchRatesDB Duration Average 60,eu-north-1:AWS/Lambda FunctionName:FetchRatesDB Duration Maximum 60
Label,Duration,Duration,Duration
2024/09/04 09:28:00,20.01,20.01,20.01
2024/09/04 09:29:00,10.69,10.69,10.69
2024/09/04 09:30:00,20.57,20.57,20.57
2024/09/04 09:31:00,36.8,36.8,36.8
2024/09/04 09:32:00,33.15,33.15,33.15
2024/09/04 09:33:00,27.28,27.28,27.28
2024/09/04 09:34:00,35.87,35.87,35.87
2024/09/04 09:35:00,14.97,14.97,14.97
2024/09/04 09:36:00,24.4,24.4,24.4
2024/09/04 09:37:00,20.23,20.23,20.23
2024/09/04 09:38:00,30.93,30.93,30.93
2024/09/04 09:39:00,37.95,37.95,37.95
2024/09/04 09:40:00,37.95,37.95,37.95
2024/09/04 09:41:00,24.68,24.68,24.68
2024/09/04 09:42:00,21.55,21.55,21.55
2024/09/04 09:43:00,11.71,11.71,11.71
2024/09/04 09:44:00,31.04,31.04,31.04
2024/09/04 09:45:00,21.57,21.57,21.57
2024/09/04 09:46:00,30.59,30.59,30.59
2024/09/04 09:47:00,6.34,6.34,6.34
2024/09/04 09:48:00,28.49,28.49,28.49
2024/09/04 09:49:00,37.84,37.84,37.84
2024/09/04 09:50:00,22.38,22.38,22.38
2024/09/04 09:51:00,18.29,18.29,18.29
2024/09/04 09:52:00,33.01,33.01,33.01
2024/09/04 09:53:00,35.28,35.28,35.28
2024/09/04 09:54:00,38.69,38.69,38.69
2024/09/04 09:55:00,29.91,29.91,29.91
2024/09/04 09:56:00,30.11,30.11,30.11
2024/09/04 09:57:00,20.06,20.06,20.06
2024/09/04 09:58:00,25.95,25.95,25.95
2024/09/04 09:59:00,36.15,36.15,36.15
2024/09/04 10:00:00,33.77,33.77,33.77
2024/09/04 10:01:00,23.36,23.36,23.36
2024/09/04 10:02:00,24.08,24.08,24.08
2024/09/04 10:03:00,562.28,562.28,562.28
2024/09/04 10:04:00,9.17,9.17,9.17
2024/09/04 10:05:00,40.98,40.98,40.98
2024/09/04 10:06:00,6.62,6.62,6.62
2024/09/04 10:07:00,32.87,32.87,32.87
2024/09/04 10:08:00,32.69,32.69,32.69
2024/09/04 10:09:00,11.64,11.64,11.64
2024/09/04 10:10:00,34.88,34.88,34.88
2024/09/04 10:11:00,27.38,27.38,27.38
2024/09/04 10:12:00,17.11,17.11,17.11
2024/09/04 10:13:00,39.72,39.72,39.72
2024/09/04 10:14:00,10.07,10.07,10.07
2024/09/04 10:15:00,37.77,37.77,37.77
2024/09/04 10:16:00,6.7,6.7,6.7
2024/09/04 10:17:00,29.18,29.18,29.18
2024/09/04 10:18:00,34.97,34.97,34.97
2024/09/04 10:19:00,10.41,10.41,10.41
2024/09/04 10:20:00,33.72,33.72,33.72
2024/09/04 10:21:00,8.59,8.59,8.59
2024/09/04 10:22:00,8.57,8.57,8.57
2024/09/04 10:23:00,39.04,39.04,39.04
2024/09/04 10:24:00,19.29,19.29,19.29
2024/09/04 10:25:00,33.14,33.14,33.14
2024/09/04 10:26:00,41.91,41.91,41.91
2024/09/04 10:27:00,10.92,10.92,10.92
2024/09/04 10:28:00,13.22,13.22,13.22
2024/09/04 10:29:00,5.55,5.55,5.55
2024/09/04 10:30:00,40.35,40.35,40.35
2024/09/04 10:31:00,7.8,7.8,7.8
2024/09/04 10:32:00,23.89,23.89,23.89
2024/09/04 10:33:00,39.48,39.48,39.48
2024/09/04 10:34:00,15.48,15.48,15.48
2024/09/04 10:35:00,30.78,30.78,30.78
2024/09/04 10:36:00,10.74,10.74,10.74
2024/09/04 10:37:00,27.45,27.45,27.45
2024/09/04 10:38:00,6.27,6.27,6.27
2024/09/04 10:39:00,20.04,20.04,20.04
2024/09/04 10:40:00,33.3,33.3,33.3
2024/09/04 10:41:00,6.85,6.85,6.85
2024/09/04 10:42:00,28.75,28.75,28.75
2024/09/04 10:43:00,6.64,6.64,6.64
2024/09/04 10:44:00,29.19,29.19,29.19
2024/09/04 10:45:00,19.98,19.98,19.98
2024/09/04 10:46:00,21.34,21.34,21.34
2024/09/04 10:47:00,25.85,25.85,25.85
2024/09/04 10:48:00,33.5,33.5,33.5
2024/09/04 10:49:00,8.24,8.24,8.24
2024/09/04 10:50:00,28.61,28.61,28.61
2024/09/04 10:51:00,27.31,27.31,27.31
2024/09/04 10:52:00,23.51,23.51,23.51
2024/09/04 10:53:00,26.73,26.73,26.73
2024/09/04 10:54:00,8.99,8.99,8.99
2024/09/04 10:55:00,8.69,8.69,8.69
2024/09/04 10:56:00,22.95,22.95,22.95
2024/09/04 10:57:00,6.18,6.18,6.18
2024/09/04 10:58:00,23.55,23.55,23.55
2024/09/04 10:59:00,12.5,12.5,12.5
2024/09/04 11:00:00,6.57,6.57,6.57
2024/09/04 11:01:00,5.98,5.98,5.98
2024/09/04 11:02:00,497.32,497.32,497.32
2024/09/04 11:03:00,32.35,32.35,32.35
2024/09/04 11:04:00,459.9,459.9,459.9
2024/09/04 11:05:00,26.36,26.36,26.36
2024/09/04 11:06:00,21.2,21.2,21.2
2024/09/04 11:07:00,28.19,28.19,28.19
2024/09/04 11:08:00,25.82,25.82,25.82
2024/09/04 11:09:00,7.82,7.82,7.82
2024/09/04 11:10:00,28.3,28.3,28.3
2024/09/04 11:11:00,33.23,33.23,33.23
2024/09/04 11:12:00,6,6,6
2024/09/04 11:13:00,37.7,37.7,37.7
2024/09/04 11:14:00,26.68,26.68,26.68
2024/09/04 11:15:00,13,13,13
2024/09/04 11:16:00,40.31,40.31,40.31
2024/09/04 11:17:00,5.32,5.32,5.32
2024/09/04 11:18:00,21.01,21.01,21.01
2024/09/04 11:19:00,24.46,24.46,24.46
2024/09/04 11:20:00,41.41,41.41,41.41
2024/09/04 11:21:00,7.84,7.84,7.84
2024/09/04 11:22:00,36.99,36.99,36.99
2024/09/04 11:23:00,40.95,40.95,40.95
2024/09/04 11:24:00,8.56,8.56,8.56
2024/09/04 11:25:00,6.91,6.91,6.91
2024/09/04 11:26:00,9.99,9.99,9.99
2024/09/04 11:27:00,22.39,22.39,22.39
2024/09/04 11:28:00,8.25,8.25,8.25
2024/09/04 11:29:00,20.14,20.14,20.14
2024/09/04 11:30:00,16.09,16.09,16.09
2024/09/04 11:31:00,28.72,28.72,28.72
2024/09/04 11:32:00,24.29,24.29,24.29
2024/09/04 11:33:00,21.52,21.52,21.52
2024/09/04 11:34:00,6.26,6.26,6.26
2024/09/04 11:35:00,37.68,37.68,37.68
2024/09/04 11:36:00,21.82,21.82,21.82
2024/09/04 11:37:00,20.96,20.96,20.96
2024/09/04 11:38:00,6.88,6.88,6.88
2024/09/04 11:39:00,23.45,23.45,23.45
2024/09/04 11:40:00,22.53,22.53,22.53
2024/09/04 11:41:00,18.79,18.79,18.79
2024/09/04 11:42:00,13.19,13.19,13.19
2024/09/04 11:43:00,30.35,30.35,30.35
2024/09/04 11:44:00,29.7,29.7,29.7
2024/09/04 11:45:00,38.48,38.48,38.48
2024/09/04 11:46:00,5.57,5.57,5.57
2024/09/04 11:47:00,14.29,14.29,14.29
2024/09/04 11:48:00,38.87,38.87,38.87
2024/09/04 11:49:00,37.86,37.86,37.86
2024/09/04 11:50:00,33.8,33.8,33.8
2024/09/04 11:51:00,23.04,23.04,23.04
2024/09/04 11:52:00,32.62,32.62,32.62
2024/09/04 11:53:00,569.84,569.84,569.84
2024/09/04 11:54:00,30.71,30.71,30.71
2024/09/04 11:55:00,12,12,12
2024/09/04 11:56:00,7.03,7.03,7.03
2024/09/04 11:57:00,24.42,24.42,24.42
2024/09/04 11:58:00,23.02,23.02,23.02
2024/09/04 11:59:00,30.26,30.26,30.26
2024/09/04 12:00:00,25.72,25.72,25.72
2024/09/04 12:01:00,23.69,23.69,23.69
2024/09/04 12:02:00,38.83,38.83,38.83
2024/09/04 12:03:00,6.6,6.6,6.6
2024/09/04 12:04:00,39.44,39.44,39.44
2024/09/04 12:05:00,31.15,31.15,31.15
2024/09/04 12:06:00,39.1,39.1,39.1
2024/09/04 12:07:00,34.07,34.07,34.07
2024/09/04 12:08:00,37.92,37.92,37.92
2024/09/04 12:09:00,19.07,19.07,19.07
2024/09/04 12:10:00,37.07,37.07,37.07
2024/09/04 12:11:00,12.18,12.18,12.18
2024/09/04 12:12:00,14.98,14.98,14.98
2024/09/04 12:13:00,8.22,8.22,8.22
2024/09/04 12:14:00,27.15,27.15,27.15
2024/09/04 12:15:00,22.67,22.67,22.67
2024/09/04 12:16:00,9.05,9.05,9.05
2024/09/04 12:17:00,6.77,6.77,6.77
2024/09/04 12:18:00,35.87,35.87,35.87
2024/09/04 12:19:00,7.97,7.97,7.97
2024/09/04 12:20:00,33.86,33.86,33.86
2024/09/04 12:21:00,37.27,37.27,37.27
2024/09/04 12:22:00,23.33,23.33,23.33
2024/09/04 12:23:00,6.19,6.19,6.19
2024/09/04 12:24:00,34.79,34.79,34.79
2024/09/04 12:25:00,24.78,24.78,24.78
2024/09/04 12:26:00,27.16,27.16,27.16